Hebrew name,English name,code
אמציה,AMAZYA,23
אופקים,OFAQIM,31
איתן,ETAN,37
אליכין,ELYAKHIN,41
אילניה,ILANIYYA,49
אור הנר,OR HANER,67
אשדוד,ASHDOD,70
אשבול,ESHBOL,71
איילת השחר,AYYELET HASHAHAR,77
אדירים,ADDIRIM,113
אביחיל,AVIHAYIL,175
אפיקים,AFIQIM,176
אבן יהודה,EVEN YEHUDA,182
אשדות יעקב  (מאוחד),ASHDOT YA'AQOV(ME'UHAD),188
אשדות יעקב  (איחוד),ASHDOT YA'AQOV(IHUD),199
אלישיב,ELYASHIV,204
אושה,USHA,278
אלונים,ALLONIM,285
אילון,ELON,294
אפק,AFEQ,313
אלומות,ALUMMOT,330
איבים,IBBIM,338
אבן שמואל,EVEN SHEMU'EL,400
אורים,URIM,403
אלוני אבא,ALLONE ABBA,429
אודים,UDIM,446
אבו גוש,ABU GHOSH,472
אבו סנאן,ABU SINAN,473
אכסאל,IKSAL,478
אעבלין,I'BILLIN,529
אזור,AZOR,565
אלקוש,ELQOSH,603
אבטין,IBTIN,652
אביאל,AVI'EL,679
אומץ,OMEZ,680
אליקים,ELYAQIM,682
ארבל,ARBEL,701
ארז,EREZ,714
אייל,EYAL,716
אליפלט,ELIFELET,730
אשתאול,ESHTA'OL,740
אמונים,EMUNIM,772
אורה,ORA,780
אבן ספיר,EVEN SAPPIR,783
אחיהוד,AHIHUD,785
אחיעזר,AHI'EZER,797
אחיסמך,AHISAMAKH,804
אביגדור,AVIGEDOR,819
אחוזם,AHUZZAM,821
אלישמע,ELISHAMA,841
אחיטוב,AHITUV,850
אלוני יצחק,ALLONE YIZHAQ,868
אורנים,ORANIM,882
איתנים,ETANIM,886
אבו עמרה (שבט),ABU  AMRE,932
אבו סריחאן (שבט),ABU SUREIHAN,935
אבו עבדון (שבט),ABU  ABDUN,958
אפיניש (שבט),AFEINISH,959
אסד (שבט),ASAD,960
אבו רוקייק (שבט),ABU RUQAYYEQ,961
אעצם (שבט),A'SAM,963
אטרש (שבט),ATRASH,965
אבו רובייעה (שבט),ABU RUBEI'A,966
אבו ג'ווייעד (שבט),ABU JUWEI'ID,967
אבו קורינאת (שבט),ABU QUREINAT,968
אור עקיבא,OR AQIVA,1020
אבו עמאר (שבט),ABU  AMMAR,1042
אוהד,OHAD,1046
אמירים,AMIRIM,1064
אדמית,ADAMIT,1068
אביעזר,AVI'EZER,1070
אבן מנחם,EVEN MENAHEM,1081
אומן,OMEN,1108
אביבים,AVIVIM,1115
אדרת,ADDERET,1123
אלמגור,ALMAGOR,1125
אילות,ELOT,1126
אלומה,ALUMMA,1145
אשלים,ASHALIM,1152
אחווה,AHAWA,1157
אלון הגליל,ALLON HAGALIL,1182
אשחר,ESHHAR,1188
אבירים,ABBIRIM,1220
אליפז,ELIFAZ,1248
אמנון,AMNUN,1253
אשרת,ASHERAT,1256
אבטליון,AVTALYON,1275
אשבל,ESHBAL,1276
אור הגנוז,OR HAGANUZ,1294
אלעד,EL'AD,1309
אבשלום,AVSHALOM,1311
אל-עריאן,AL-ARYAN,1316
ארסוף,ARSUF,1324
אחוזת ברק,AHUZZAT BARAQ,1330
אירוס,IRUS,1336
אל-עזי,AL-AZY,1339
אבו קורינאת (יישוב),ABU QUREINAT,1342
אום בטין,UMM BATIN,1358
אל סייד,AL SAYYID,1359
אליאב,ELIAV,1365
אבו תלול,ABU TULUL,1375
אורות,OROT,2012
אשל הנשיא,ESHEL HANASI,2021
אום אל-קוטוף,UMM AL-QUTUF,2024
אביטל,AVITAL,2052
אור יהודה,OR YEHUDA,2400
אילת,ELAT,2600
אום אל-פחם,UMM AL-FAHM,2710
אלמוג,ALMOG,3556
אלקנה,ELQANA,3560
אריאל,ARI'EL,3570
אלון מורה,ELON MORE,3579
ארגמן,ARGAMAN,3598
אלון שבות,ALLON SHEVUT,3604
אלעזר,EL'AZAR,3618
אפרת,EFRAT,3650
אשכולות,ESHKOLOT,3722
אלפי מנשה,ALFE MENASHE,3750
אספר,ASFAR,3754
אדורה,ADORA,3759
אורנית,ORANIT,3760
איתמר,ITAMAR,3762
אבנת,AVENAT,3786
אבני חפץ,AVNE HEFEZ,3793
אלי-עד,ELI-AD,4002
אל-רום,EL-ROM,4003
אודם,ODEM,4010
אבני איתן,AVNE ETAN,4011
אניעם,ANI'AM,4012
אורטל,ORTAL,4013
אלוני הבשן,ALLONE HABASHAN,4017
אפיק,AFIQ,4301
אשקלון,ASHQELON,7100
בית ניר,BET NIR,16
באר אורה,BE'ER ORA,21
בת שלמה,BAT SHELOMO,33
בלפוריה,BALFURYA,94
בית אלפא,BET ALFA,95
ברק,BARAQ,141
בית זרע,BET ZERA,143
באר טוביה,BE'ER TOVIYYA,155
בית חנן,BET HANAN,159
בית ינאי,BET YANNAY,200
בית עובד,BET OVED,202
בית צבי,BET ZEVI,212
ביצרון,BIZZARON,234
בית השיטה,BET HASHITTA,242
בית שערים,BET SHE'ARIM,248
ביתן אהרן,BITAN AHARON,252
בית יוסף,BET YOSEF,265
בית יהושע,BET YEHOSHUA,288
בית עוזיאל,BET UZZI'EL,301
בית אורן,BET OREN,317
בית הלל,BET HILLEL,322
בית יצחק-שער חפר,BET YIZHAQ-SH. HEFER,326
בית זיד,BET ZEID,353
בית קשת,BET QESHET,365
ביריה,BIRIYYA,368
בית הלוי,BET HALEWI,373
בני דרור,BENE DEROR,386
בצרה,BAZRA,389
בארי,BE'ERI,399
בני ציון,BENE ZIYYON,418
ברור חיל,BEROR HAYIL,428
בית לחם הגלילית,BET LEHEM HAGELILIT,430
בני עטרות,BENE ATAROT,448
